,Movie,Production Budget,Domestic Gross,Worldwide Gross,Profit,ROI,Year,nameYear
5677,the birth of a nation,110000,10000000,11000000,10890000,100.0,1915,the birth of a nation1915
5523,intolerance,385907,0,0,-385907,0.0,1916,intolerance1916
5614,20000 leagues under the sea,200000,8000000,8000000,7800000,40.0,1916,20000 leagues under the sea1916
5683,over the hill to the poorhouse,100000,3000000,3000000,2900000,30.0,1920,over the hill to the poorhouse1920
4569,benhur a tale of the christ,3900000,9000000,9000000,5100000,2.3076923076923075,1925,benhur a tale of the christ1925
5606,the big parade,245000,11000000,22000000,21755000,89.79591836734694,1925,the big parade1925
4984,wings,2000000,0,0,-2000000,0.0,1927,wings1927
5524,the broadway melody,379000,2800000,4358000,3979000,11.49868073878628,1929,the broadway melody1929
4559,hells angels,4000000,0,0,-4000000,0.0,1930,hells angels1930
5423,mata hari,558000,900000,900000,342000,1.6129032258064515,1931,mata hari1931
5618,she done him wrong,200000,2000000,2000000,1800000,10.0,1933,she done him wrong1933
5396,king kong,672000,10000000,10000650,9328650,14.881919642857143,1933,king kong1933
5502,42nd street,439000,1438000,2281000,1842000,5.195899772209567,1933,42nd street1933
5537,it happened one night,325000,2500000,2500000,2175000,7.6923076923076925,1934,it happened one night1934
5405,top hat,609000,1782000,3202000,2593000,5.257799671592775,1935,top hat1935
5180,the charge of the light brigade,1200000,0,0,-1200000,0.0,1936,the charge of the light brigade1936
5131,san francisco,1300000,2868000,5273000,3973000,4.056153846153846,1936,san francisco1936
5097,modern times,1500000,163245,199747,-1300253,0.13316466666666665,1936,modern times1936
5117,snow white and the seven dwarfs,1488000,184925486,184925486,183437486,124.27788037634409,1937,snow white and the seven dwarfs1937
4917,alexanders ragtime band,2000000,4000000,4000000,2000000,2.0,1938,alexanders ragtime band1938
5049,you cant take it with you,1644000,4000000,4000000,2356000,2.4330900243309004,1938,you cant take it with you1938
4788,the wizard of oz,2777000,34063405,34305476,31528476,12.353430320489737,1939,the wizard of oz1939
5068,mr smith goes to washington,1500000,9000000,9000000,7500000,6.0,1939,mr smith goes to washington1939
4567,gone with the wind,3900000,198680470,390525192,386625192,100.13466461538462,1939,gone with the wind1939
4901,boom town,2000000,9172000,9172000,7172000,4.586,1940,boom town1940
5146,rebecca,1288000,6000000,6002370,4714370,4.6602251552795035,1940,rebecca1940
4868,fantasia,2280000,83320000,83320000,81040000,36.54385964912281,1940,fantasia1940
4867,pinocchio,2289247,84300000,84300000,82010753,36.82433568767372,1940,pinocchio1940
5154,how green was my valley,1250000,0,0,-1250000,0.0,1941,how green was my valley1941
5668,cat people,134000,4000000,8000000,7866000,59.701492537313435,1942,cat people1942
5346,bambi,858000,102797000,268000000,267142000,312.35431235431236,1942,bambi1942
4799,a guy named joe,2627000,5363000,5363000,2736000,2.041492196421774,1943,a guy named joe1943
5209,casablanca,1039000,10462500,10496855,9457855,10.102844080846968,1943,casablanca1943
4858,bathing beauty,2361000,3500000,3500000,1139000,1.4824227022448115,1944,bathing beauty1944
4243,wilson,5200000,2000000,2000000,-3200000,0.38461538461538464,1944,wilson1944
4874,the valley of decision,2160000,9132000,9132000,6972000,4.227777777777778,1945,the valley of decision1945
5148,the lost weekend,1250000,11000000,11000000,9750000,8.8,1945,the lost weekend1945
5073,spellbound,1500000,7000000,7000000,5500000,4.666666666666667,1945,spellbound1945
4877,the best years of our lives,2100000,23600000,23600000,21500000,11.238095238095237,1946,the best years of our lives1946
4889,notorious,2000000,24464742,24464742,22464742,12.232371,1946,notorious1946
4130,duel in the sun,6000000,20400000,20400000,14400000,3.4,1946,duel in the sun1946
4774,the harvey girls,2931000,4100000,4100000,1169000,1.3988399863527807,1946,the harvey girls1946
4660,itâs a wonderful life,3180000,6600000,10768908,7588908,3.3864490566037735,1946,itâs a wonderful life1946
4902,gentlemans agreement,2000000,7800000,7800000,5800000,3.9,1947,gentlemans agreement1947
4696,red river,3000000,9012000,9012000,6012000,3.004,1948,red river1948
4581,the pirate,3700000,2956000,2956000,-744000,0.798918918918919,1948,the pirate1948
5051,she wore a yellow ribbon,1600000,5400000,5400000,3800000,3.375,1949,she wore a yellow ribbon1949
5229,sands of iwo jima,1000000,7800000,7800000,6800000,7.8,1949,sands of iwo jima1949
4775,cinderella,2900000,85000000,263591415,260691415,90.89359137931035,1950,cinderella1950
4576,annie get your gun,3768785,8000000,8000000,4231215,2.122700021359669,1950,annie get your gun1950
5020,a streetcar named desire,1800000,8000000,8000000,6200000,4.444444444444445,1951,a streetcar named desire1951
4759,alice in wonderland,3000000,0,0,-3000000,0.0,1951,alice in wonderland1951
5161,strangers on a train,1200000,7000000,7000000,5800000,5.833333333333333,1951,strangers on a train1951
5164,the day the earth stood still,1200000,3700000,3700000,2500000,3.0833333333333335,1951,the day the earth stood still1951
4860,show boat,2300000,11000000,11000000,8700000,4.782608695652174,1951,show boat1951
3858,quo vadis,8250000,30000000,30028513,21778513,3.6398197575757574,1951,quo vadis1951
4481,the greatest show on earth,4000000,36000000,36000000,32000000,9.0,1952,the greatest show on earth1952
5387,high noon,730000,8000000,8000000,7270000,10.95890410958904,1952,high noon1952
4810,singin in the rain,2540000,7200000,7200000,4660000,2.8346456692913384,1952,singin in the rain1952
5611,the beast from 20000 fathoms,210000,5000000,5000000,4790000,23.80952380952381,1953,the beast from 20000 fathoms1953
5397,house of wax,658000,23800000,23800000,23142000,36.170212765957444,1953,house of wax1953
5048,from here to eternity,1650000,30500000,30500000,28850000,18.484848484848484,1953,from here to eternity1953
5152,niagara,1250000,2500000,2500000,1250000,2.0,1953,niagara1953
4476,peter pan,4000000,87400000,87400000,83400000,21.85,1953,peter pan1953
4266,the robe,5000000,36000000,36008303,31008303,7.2016606,1953,the robe1953
5336,on the waterfront,910000,9600000,9600000,8690000,10.54945054945055,1954,on the waterfront1954
4298,the egyptian,5000000,15000000,15000000,10000000,3.0,1954,the egyptian1954
5162,the trouble with harry,1200000,7000000,7000000,5800000,5.833333333333333,1955,the trouble with harry1955
5061,the kingâs thief,1577000,0,0,-1577000,0.0,1955,the kingâs thief1955
4491,trapeze,4000000,14400000,14400000,10400000,3.6,1956,trapeze1956
4120,around the world in 80 days,6000000,42000000,42000000,36000000,7.0,1956,around the world in 80 days1956
5447,shichinin no samurai,500000,271736,271736,-228264,0.543472,1956,shichinin no samurai1956
4797,diane,2660000,0,0,-2660000,0.0,1956,diane1956
4641,carousel,3380000,0,3604,-3376396,0.0010662721893491124,1956,carousel1956
3233,the ten commandments,13500000,85400591,85434516,71934516,6.328482666666667,1956,the ten commandments1956
5168,the wrong man,1200000,2000000,2000000,800000,1.6666666666666667,1956,the wrong man1956
4141,war and peace,6000000,12500000,12524028,6524028,2.087338,1956,war and peace1956
5227,love me tender,1000000,9000000,9000000,8000000,9.0,1956,love me tender1956
4430,moby dick,4500000,10400000,10400000,5900000,2.311111111111111,1956,moby dick1956
4670,the bridge on the river kwai,3000000,33300000,33300000,30300000,11.1,1957,the bridge on the river kwai1957
5535,12 angry men,340000,0,0,-340000,0.0,1957,12 angry men1957
4315,a farewell to arms,5000000,11000000,11017403,6017403,2.2034806,1957,a farewell to arms1957
4681,cat on a hot tin roof,3000000,17570324,17570324,14570324,5.8567746666666665,1958,cat on a hot tin roof1958
4600,the nuns story,3500000,12800000,12800000,9300000,3.657142857142857,1959,the nuns story1959
3007,benhur,15000000,73000000,73259017,58259017,4.883934466666667,1959,benhur1959
4781,some like it hot,2883848,25000000,25019542,22135694,8.675749207309122,1959,some like it hot1959
4316,solomon and sheba,5000000,11000000,11014961,6014961,2.2029922,1959,solomon and sheba1959
4485,exodus,4000000,21750000,21750000,17750000,5.4375,1960,exodus1960
3409,the alamo,12000000,7900000,7900000,-4100000,0.6583333333333333,1960,the alamo1960
4691,elmer gantry,3000000,10400000,10400000,7400000,3.466666666666667,1960,elmer gantry1960
4680,the apartment,3000000,18600000,24600000,21600000,8.2,1960,the apartment1960
3373,spartacus,12000000,30000000,60000000,48000000,5.0,1960,spartacus1960
4903,the hustler,2000000,7600000,7600000,5600000,3.8,1961,the hustler1961
4503,the misfits,4000000,8200000,8200000,4200000,2.05,1961,the misfits1961
4119,west side story,6000000,43700000,43700000,37700000,7.283333333333333,1961,west side story1961
4693,judgment at nuremberg,3000000,10000000,10000000,7000000,3.3333333333333335,1961,judgment at nuremberg1961
4777,pocketful of miracles,2900000,5000000,5000000,2100000,1.7241379310344827,1961,pocketful of miracles1961
5713,the brain that wouldnt die,60000,0,0,-60000,0.0,1962,the brain that wouldnt die1962
3558,the longest day,10000000,39100000,50100000,40100000,5.01,1962,the longest day1962
