,Unnamed: 0_x,tconst,primary_title,original_title,start_year,runtime_minutes,genres,Action,Crime,Drama,Biography,Comedy,Fantasy,Horror,Thriller,Adventure,Animation,Documentary,History,Mystery,Science Fiction,Romance,Family,War,Music,Sport,Western,Musical,Adult,News,Link,start_year_str,Unnamed: 0_y,Title,Studio,Domestic Gross_x,Foreign Gross,Year_x,Clean Title,Unnamed: 0_x,Average Rating,Number of Votes,Unnamed: 0_y,Movie,Production Budget,Domestic Gross_y,Worldwide Gross,Profit,ROI,Year_y,nameYear
0,54,tt0359950,The Secret Life of Walter Mitty,The Secret Life of Walter Mitty,2013,114.0,"Adventure,Comedy,Drama",False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,the secret life of walter mitty2013,2013,1169,The Secret Life of Walter Mitty,Fox,58200000.0,129900000,2013,the secret life of walter mitty,57942,7.3,275300,436,the secret life of walter mitty,91000000,58236838,187861183,96861183,2.0644086043956045,2013,the secret life of walter mitty2013
1,58,tt0365907,A Walk Among the Tombstones,A Walk Among the Tombstones,2014,114.0,"Action,Crime,Drama",True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,a walk among the tombstones2014,2014,1577,A Walk Among the Tombstones,Uni.,26300000.0,26900000,2014,a walk among the tombstones,2226,6.5,105116,2066,a walk among the tombstones,28000000,26017685,62108587,34108587,2.2181638214285715,2014,a walk among the tombstones2014
2,60,tt0369610,Jurassic World,Jurassic World,2015,124.0,"Action,Adventure,Sci-Fi",True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,jurassic world2015,2015,1873,Jurassic World,Uni.,652300000.0,"1,019.4",2015,jurassic world,7450,7.0,539338,33,jurassic world,215000000,652270625,1648854864,1433854864,7.669092390697673,2015,jurassic world2015
3,62,tt0376136,The Rum Diary,The Rum Diary,2011,119.0,"Comedy,Drama",False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,the rum diary2011,2011,474,The Rum Diary,FD,13100000.0,10800000,2011,the rum diary,54749,6.2,94787,1315,the rum diary,45000000,13109815,21544732,-23455268,0.4787718222222222,2011,the rum diary2011
4,67,tt0383010,The Three Stooges,The Three Stooges,2012,92.0,"Comedy,Family",False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,the three stooges2012,2012,823,The Three Stooges,Fox,44300000.0,10500000,2012,the three stooges,28908,5.1,28570,1903,the three stooges,30000000,44338224,54052249,24052249,1.8017416333333331,2012,the three stooges2012
5,71,tt0398286,Tangled,Tangled,2010,100.0,"Adventure,Animation,Comedy",False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,tangled2010,2010,7,Tangled,BV,200800000.0,391000000,2010,tangled,9817,7.8,366366,14,tangled,260000000,200821936,586477240,326477240,2.2556816923076917,2010,tangled2010
6,73,tt0401729,John Carter,John Carter,2012,132.0,"Action,Adventure,Sci-Fi",True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,john carter2012,2012,755,John Carter,BV,73100000.0,211100000,2012,john carter,7452,6.6,241792,13,john carter,275000000,73058679,282778100,7778100,1.028284,2012,john carter2012
7,92,tt0427152,Dinner for Schmucks,Dinner for Schmucks,2010,114.0,Comedy,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,dinner for schmucks2010,2010,71,Dinner for Schmucks,P/DW,73000000.0,13800000,2010,dinner for schmucks,3919,5.9,91546,750,dinner for schmucks,69000000,73026337,86796502,17796502,1.2579203188405796,2010,dinner for schmucks2010
8,95,tt0429493,The A-Team,The A-Team,2010,117.0,"Action,Adventure,Thriller",True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,the ateam2010,2010,40,The A-Team,Fox,77200000.0,100000000,2010,the ateam,51133,6.8,235256,331,the ateam,110000000,77222099,177241171,67241171,1.6112833727272726,2010,the ateam2010
9,97,tt0431021,The Possession,The Possession,2012,92.0,"Horror,Mystery,Thriller",False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,the possession2012,2012,801,The Possession,LGF,49100000.0,36300000,2012,the possession,54750,5.9,53649,3180,the possession,14000000,49130588,82925064,68925064,5.9232188571428575,2012,the possession2012
