,Unnamed: 0,Genre_Ids,Id,Original_Language,Original_Title,Popularity,Release_Date,Title,Vote_Average,Vote_Count,Clean Title,Year,Link
0,0,"[12, 14, 10751]",12444,en,Harry Potter and the Deathly Hallows: Part 1,33.533,2010-11-19,Harry Potter and the Deathly Hallows: Part 1,7.7,10788,harry potter and the deathly hallows part 1,2010,harry potter and the deathly hallows part 12010
1,1,"[14, 12, 16, 10751]",10191,en,How to Train Your Dragon,28.734,2010-03-26,How to Train Your Dragon,7.7,7610,how to train your dragon,2010,how to train your dragon2010
2,2,"[12, 28, 878]",10138,en,Iron Man 2,28.515,2010-05-07,Iron Man 2,6.8,12368,iron man 2,2010,iron man 22010
3,3,"[16, 35, 10751]",862,en,Toy Story,28.005,1995-11-22,Toy Story,7.9,10174,toy story,1995,toy story1995
4,4,"[28, 878, 12]",27205,en,Inception,27.92,2010-07-16,Inception,8.3,22186,inception,2010,inception2010
5,5,"[12, 14, 10751]",32657,en,Percy Jackson & the Olympians: The Lightning Thief,26.691,2010-02-11,Percy Jackson & the Olympians: The Lightning Thief,6.1,4229,percy jackson  the olympians the lightning thief,2010,percy jackson  the olympians the lightning thief2010
6,6,"[28, 12, 14, 878]",19995,en,Avatar,26.526,2009-12-18,Avatar,7.4,18676,avatar,2009,avatar2009
7,7,"[16, 10751, 35]",10193,en,Toy Story 3,24.445,2010-06-17,Toy Story 3,7.7,8340,toy story 3,2010,toy story 32010
8,8,"[16, 10751, 35]",20352,en,Despicable Me,23.673000000000002,2010-07-09,Despicable Me,7.2,10057,despicable me,2010,despicable me2010
9,9,"[16, 28, 35, 10751, 878]",38055,en,Megamind,22.855,2010-11-04,Megamind,6.8,3635,megamind,2010,megamind2010
10,10,"[16, 35, 10751]",863,en,Toy Story 2,22.698,1999-11-24,Toy Story 2,7.5,7553,toy story 2,1999,toy story 21999
11,11,"[10751, 14, 12]",12155,en,Alice in Wonderland,22.02,2010-03-05,Alice in Wonderland,6.6,8713,alice in wonderland,2010,alice in wonderland2010
12,12,"[53, 12, 28]",27578,en,The Expendables,21.517,2010-08-03,The Expendables,6.1,4647,the expendables,2010,the expendables2010
13,13,"[16, 10751]",38757,en,Tangled,21.511,2010-11-24,Tangled,7.5,6407,tangled,2010,tangled2010
14,14,"[27, 80]",41439,en,Saw 3D,20.37,2010-10-28,Saw: The Final Chapter,6.0,1488,saw the final chapter,2010,saw the final chapter2010
