,Unnamed: 0_x,tconst,primary_title,original_title,start_year,runtime_minutes,genres,Action,Crime,Drama,Biography,Comedy,Fantasy,Horror,Thriller,Adventure,Animation,Documentary,History,Mystery,Science Fiction,Romance,Family,War,Music,Sport,Western,Musical,Adult,News,Link,start_year_str,Unnamed: 0_y,Title,Studio,Domestic Gross,Foreign Gross,Year,Clean Title
0,38,tt0315642,Wazir,Wazir,2016,103.0,"Action,Crime,Drama",True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,wazir2016,2016,2568,Wazir,Relbig.,1100000.0,,2016,wazir
1,48,tt0337692,On the Road,On the Road,2012,124.0,"Adventure,Drama,Romance",False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,on the road2012,2012,904,On the Road,IFC,744000.0,8000000,2012,on the road
2,54,tt0359950,The Secret Life of Walter Mitty,The Secret Life of Walter Mitty,2013,114.0,"Adventure,Comedy,Drama",False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,the secret life of walter mitty2013,2013,1169,The Secret Life of Walter Mitty,Fox,58200000.0,129900000,2013,the secret life of walter mitty
3,58,tt0365907,A Walk Among the Tombstones,A Walk Among the Tombstones,2014,114.0,"Action,Crime,Drama",True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,a walk among the tombstones2014,2014,1577,A Walk Among the Tombstones,Uni.,26300000.0,26900000,2014,a walk among the tombstones
4,60,tt0369610,Jurassic World,Jurassic World,2015,124.0,"Action,Adventure,Sci-Fi",True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,jurassic world2015,2015,1873,Jurassic World,Uni.,652300000.0,"1,019.4",2015,jurassic world
5,62,tt0376136,The Rum Diary,The Rum Diary,2011,119.0,"Comedy,Drama",False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,the rum diary2011,2011,474,The Rum Diary,FD,13100000.0,10800000,2011,the rum diary
6,63,tt0376479,American Pastoral,American Pastoral,2016,108.0,"Crime,Drama",False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,american pastoral2016,2016,2596,American Pastoral,LGF,544000.0,,2016,american pastoral
7,67,tt0383010,The Three Stooges,The Three Stooges,2012,92.0,"Comedy,Family",False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,the three stooges2012,2012,823,The Three Stooges,Fox,44300000.0,10500000,2012,the three stooges
8,71,tt0398286,Tangled,Tangled,2010,100.0,"Adventure,Animation,Comedy",False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,tangled2010,2010,7,Tangled,BV,200800000.0,391000000,2010,tangled
9,73,tt0401729,John Carter,John Carter,2012,132.0,"Action,Adventure,Sci-Fi",True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,john carter2012,2012,755,John Carter,BV,73100000.0,211100000,2012,john carter
10,76,tt0403935,Action Jackson,Action Jackson,2014,144.0,"Action,Thriller",True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,action jackson2014,2014,1788,Action Jackson,Eros,257000.0,,2014,action jackson
