,Title,Studio,Domestic Gross,Foreign Gross,Year,Clean Title,Link
0,Toy Story 3,BV,415000000.0,652000000,2010,toy story 3,toy story 32010
1,Alice in Wonderland,BV,334200000.0,691300000,2010,alice in wonderland,alice in wonderland2010
2,Harry Potter and the Deathly Hallows Part 1,WB,296000000.0,664300000,2010,harry potter and the deathly hallows part 1,harry potter and the deathly hallows part 12010
3,Inception,WB,292600000.0,535700000,2010,inception,inception2010
4,Shrek Forever After,P/DW,238700000.0,513900000,2010,shrek forever after,shrek forever after2010
5,The Twilight Saga: Eclipse,Sum.,300500000.0,398000000,2010,the twilight saga eclipse,the twilight saga eclipse2010
6,Iron Man 2,Par.,312400000.0,311500000,2010,iron man 2,iron man 22010
7,Tangled,BV,200800000.0,391000000,2010,tangled,tangled2010
8,Despicable Me,Uni.,251500000.0,291600000,2010,despicable me,despicable me2010
9,How to Train Your Dragon,P/DW,217600000.0,277300000,2010,how to train your dragon,how to train your dragon2010
10,Clash of the Titans,WB,163200000.0,330000000,2010,clash of the titans,clash of the titans2010
11,The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,104400000.0,311300000,2010,the chronicles of narnia the voyage of the dawn treader,the chronicles of narnia the voyage of the dawn treader2010
12,The King's Speech,Wein.,135500000.0,275400000,2010,the kings speech,the kings speech2010
13,Tron Legacy,BV,172100000.0,228000000,2010,tron legacy,tron legacy2010
14,The Karate Kid,Sony,176600000.0,182500000,2010,the karate kid,the karate kid2010
15,Prince of Persia: The Sands of Time,BV,90800000.0,245600000,2010,prince of persia the sands of time,prince of persia the sands of time2010
16,Black Swan,FoxS,107000000.0,222400000,2010,black swan,black swan2010
17,Megamind,P/DW,148400000.0,173500000,2010,megamind,megamind2010
18,Robin Hood,Uni.,105300000.0,216400000,2010,robin hood,robin hood2010
19,The Last Airbender,Par.,131800000.0,187900000,2010,the last airbender,the last airbender2010
20,Little Fockers,Uni.,148400000.0,162200000,2010,little fockers,little fockers2010
21,Resident Evil: Afterlife,SGem,60100000.0,240100000,2010,resident evil afterlife,resident evil afterlife2010
22,Shutter Island,Par.,128000000.0,166800000,2010,shutter island,shutter island2010
23,Salt,Sony,118300000.0,175200000,2010,salt,salt2010
24,Sex and the City 2,WB (NL),95300000.0,193000000,2010,sex and the city 2,sex and the city 22010
25,The Tourist,Sony,67600000.0,210700000,2010,the tourist,the tourist2010
26,The Expendables,LGF,103100000.0,171400000,2010,the expendables,the expendables2010
27,Grown Ups,Sony,162000000.0,109400000,2010,grown ups,grown ups2010
28,Knight & Day,Fox,76400000.0,185500000,2010,knight  day,knight  day2010
29,True Grit,Par.,171200000.0,81000000,2010,true grit,true grit2010
30,Gulliver's Travels,Fox,42800000.0,194600000,2010,gullivers travels,gullivers travels2010
31,Percy Jackson & The Olympians: The Lightning Thief,Fox,88800000.0,137700000,2010,percy jackson  the olympians the lightning thief,percy jackson  the olympians the lightning thief2010
32,The Social Network,Sony,97000000.0,128000000,2010,the social network,the social network2010
33,Valentine's Day,WB (NL),110500000.0,106000000,2010,valentines day,valentines day2010
34,The Sorcerer's Apprentice,BV,63200000.0,152100000,2010,the sorcerers apprentice,the sorcerers apprentice2010
35,Due Date,WB,100500000.0,111200000,2010,due date,due date2010
36,Eat Pray Love,Sony,80600000.0,124000000,2010,eat pray love,eat pray love2010
37,Yogi Bear,WB,100200000.0,101300000,2010,yogi bear,yogi bear2010
38,Red,Sum.,90400000.0,108600000,2010,red,red2010
